"ID","Lake","Lake_type","ID_Art","Order","Suborder","Taxon_agg","Taxon","BD","ship_EM","ship_DM","ship_DM_I","DM_all","AFDM_all","LOM","ind_1","ind_2","ind_3","ind_4","ind_5","ind_6","ind_7","ind_8","ind_9","ind_10","ind_11","ind_12","ind_13","ind_14","ind_15","ind_16","no_ind","length_ind","M_ind","M_type"
260,"Schulzensee","Shallow lake",4519,"Ephemeroptera","Ephemeroptera","Caenis horaria","Caenis horaria","HW",99.17,99.95,NA,0.78,NA,NA,0.82,0.84,0.84,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.84,0.2,"DM"
261,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",91.85,91.95,NA,0.1,NA,NA,0.41,0.4,0.4,0.4,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.41,0.02,"DM"
262,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",36.12,36.16,NA,0.04,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.42,0.04,"DM"
263,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",82.43,82.47,NA,0.04,NA,NA,0.42,0.41,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.42,0.01,"DM"
264,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",96.72,96.8,NA,0.08,NA,NA,0.36,0.37,0.39,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.38,0.02,"DM"
265,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",88.69,88.86,NA,0.17,NA,NA,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.71,0.17,"DM"
266,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",90.45,90.61,NA,0.16,NA,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.77,0.16,"DM"
267,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",87.94,88.08,NA,0.14,NA,NA,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.78,0.14,"DM"
268,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",91.62,91.78,NA,0.16,NA,NA,0.41,0.45,0.44,0.46,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.45,0.03,"DM"
269,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",89.37,89.55,NA,0.18,NA,NA,0.49,0.49,0.42,0.41,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.46,0.04,"DM"
270,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",91.45,91.6,NA,0.15,NA,NA,0.46,0.46,0.47,0.47,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.46,0.03,"DM"
271,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",74.18,74.29,NA,0.11,NA,NA,0.49,0.47,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.48,0.04,"DM"
272,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",89.78,89.9,NA,0.12,NA,NA,0.51,0.51,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.51,0.04,"DM"
273,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",78.41,78.57,NA,0.16,NA,NA,0.5,0.54,0.53,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.51,0.03,"DM"
274,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",84.2,84.45,NA,0.25,NA,NA,0.54,0.53,0.53,0.55,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.53,0.05,"DM"
275,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",71.28,71.37,NA,0.09,NA,NA,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.58,0.09,"DM"
276,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",73.09,73.18,NA,0.09,NA,NA,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.61,0.09,"DM"
277,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",84.04,84.46,NA,0.42,NA,NA,0.61,0.62,0.69,0.67,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.64,0.08,"DM"
278,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",86.17,86.6,NA,0.43,NA,NA,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.08,0.43,"DM"
279,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",92.87,93.48,NA,0.61,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.1,0.61,"DM"
280,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",87.91,88.52,NA,0.61,NA,NA,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.12,0.61,"DM"
281,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",81.86,82.8,NA,0.94,NA,NA,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.13,0.94,"DM"
282,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",90.89,92.08,NA,1.19,NA,NA,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.15,1.19,"DM"
283,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",85.93,86.92,NA,0.99,NA,NA,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.16,0.99,"DM"
284,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",89.17,89.68,NA,0.51,NA,NA,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.18,0.51,"DM"
285,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",88.77,89.72,NA,0.95,NA,NA,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.18,0.95,"DM"
286,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",91.54,92.18,NA,0.64,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.2,0.64,"DM"
287,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",32.41,32.5,NA,0.09,NA,NA,0.38,0.37,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.38,0.03,"DM"
288,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",33.49,33.62,NA,0.13,NA,NA,0.68,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.65,0.06,"DM"
289,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",33.44,33.63,NA,0.19,NA,NA,0.7,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.72,0.1,"DM"
290,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",33.32,33.48,NA,0.16,NA,NA,0.7,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.73,0.08,"DM"
291,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",31.08,31.28,NA,0.2,NA,NA,0.77,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.78,0.1,"DM"
292,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",34.53,34.66,NA,0.13,NA,NA,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.86,0.13,"DM"
293,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",34.79,34.96,NA,0.17,NA,NA,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.88,0.17,"DM"
294,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",35.82,36.05,NA,0.23,NA,NA,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.97,0.23,"DM"
295,"Schulzensee","Shallow lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",102.61,102.89,NA,0.28,NA,NA,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.12,0.28,"DM"
296,"Schulzensee","Shallow lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",102.94,103.56,NA,0.62,NA,NA,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.18,0.62,"DM"
297,"Schulzensee","Shallow lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",102.63,103.68,NA,1.05,NA,NA,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.27,1.05,"DM"
298,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",82.38,82.77,NA,0.39,NA,NA,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.89,0.39,"DM"
299,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",88.97,89.12,NA,0.15,NA,NA,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.92,0.15,"DM"
300,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",90.27,90.62,NA,0.35,NA,NA,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.93,0.35,"DM"
301,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",96.54,96.87,NA,0.33,NA,NA,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.95,0.33,"DM"
302,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",85.07,85.39,NA,0.32,NA,NA,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.96,0.32,"DM"
303,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",88.61,89.1,NA,0.49,NA,NA,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.96,0.49,"DM"
304,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",81.17,81.63,NA,0.46,NA,NA,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.05,0.46,"DM"
305,"Schulzensee","Shallow lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",100.15,101.12,NA,0.97,NA,NA,0.76,0.79,0.79,0.8,0.8,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,8,0.79,0.12,"DM"
306,"Schulzensee","Shallow lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",99.91,100.73,NA,0.82,NA,NA,0.81,0.82,0.83,0.84,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.83,0.16,"DM"
307,"Schulzensee","Shallow lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",106.02,106.25,NA,0.23,NA,NA,0.88,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.89,0.11,"DM"
308,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",84,84.22,NA,0.22,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.8,0.22,"DM"
309,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",93.1,93.36,NA,0.26,NA,NA,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.86,0.26,"DM"
310,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",91.94,92.08,NA,0.14,NA,NA,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.87,0.14,"DM"
311,"Schulzensee","Shallow lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",100.44,100.63,NA,0.19,NA,NA,0.59,0.6,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.6,0.06,"DM"
312,"Schulzensee","Shallow lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",93.8,93.93,NA,0.13,NA,NA,0.42,0.42,0.42,0.44,0.45,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.44,0.02,"DM"
313,"Schulzensee","Shallow lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",92.15,92.33,NA,0.18,NA,NA,0.49,0.51,0.52,0.52,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.51,0.04,"DM"
314,"Schulzensee","Shallow lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",92.03,92.46,NA,0.43,NA,NA,0.54,0.54,0.54,0.55,0.55,0.56,0.56,0.57,0.58,0.58,NA,NA,NA,NA,NA,NA,10,0.56,0.04,"DM"
315,"Schulzensee","Shallow lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",82.84,83.51,NA,0.67,NA,NA,0.65,0.65,0.66,0.66,0.66,0.68,0.68,0.68,NA,NA,NA,NA,NA,NA,NA,NA,8,0.67,0.08,"DM"
316,"Schulzensee","Shallow lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",97.85,98.59,NA,0.74,NA,NA,0.7,0.71,0.72,0.73,0.73,0.74,0.74,0.74,NA,NA,NA,NA,NA,NA,NA,NA,8,0.73,0.09,"DM"
317,"Schulzensee","Shallow lake",4527,"Ephemeroptera","Ephemeroptera","Caenis robusta","Caenis robusta","HW",88.91,89.84,NA,0.93,NA,NA,1.06,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.08,0.47,"DM"
318,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis robusta","HW",82.43,82.47,NA,0.04,NA,NA,0.42,0.41,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.42,0.01,"DM"
319,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis robusta","HW",84.2,84.45,NA,0.25,NA,NA,0.54,0.53,0.53,0.55,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.53,0.05,"DM"
320,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis robusta","HW",71.28,71.37,NA,0.09,NA,NA,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.58,0.09,"DM"
321,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis robusta","HW",73.09,73.18,NA,0.09,NA,NA,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.61,0.09,"DM"
322,"Schulzensee","Shallow lake",4527,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis robusta","HW",102.63,103.68,NA,1.05,NA,NA,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.27,1.05,"DM"
323,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis robusta","HW",86.17,86.6,NA,0.43,NA,NA,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.08,0.43,"DM"
324,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis robusta","HW",92.87,93.48,NA,0.61,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.1,0.61,"DM"
325,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis robusta","HW",91.62,91.78,NA,0.16,NA,NA,0.41,0.45,0.44,0.46,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.45,0.03,"DM"
326,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis robusta","HW",89.37,89.55,NA,0.18,NA,NA,0.49,0.49,0.42,0.41,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.46,0.04,"DM"
327,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis robusta","HW",91.45,91.6,NA,0.15,NA,NA,0.46,0.46,0.47,0.47,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.46,0.03,"DM"
328,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis robusta","HW",74.18,74.29,NA,0.11,NA,NA,0.49,0.47,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.48,0.04,"DM"
329,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis robusta","HW",89.78,89.9,NA,0.12,NA,NA,0.51,0.51,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.51,0.04,"DM"
330,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis robusta","HW",78.41,78.57,NA,0.16,NA,NA,0.5,0.54,0.53,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.51,0.03,"DM"
331,"Schulzensee","Shallow lake",4527,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis robusta","HW",102.61,102.89,NA,0.28,NA,NA,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.12,0.28,"DM"
332,"Schulzensee","Shallow lake",4519,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis horaria","HW",98.46,103.35,NA,4.89,NA,NA,1.09,1.1,1.12,1.13,1.16,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1.13,0.81,"DM"
333,"Schulzensee","Shallow lake",4527,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis robusta","HW",102.94,103.56,NA,0.62,NA,NA,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.18,0.62,"DM"
334,"Schulzensee","Shallow lake",4519,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis horaria","HW",98.18,102.02,NA,3.84,NA,NA,1.2,1.23,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.23,1.28,"DM"
335,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis robusta","HW",96.72,96.8,NA,0.08,NA,NA,0.36,0.37,0.39,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.38,0.02,"DM"
336,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis robusta","HW",91.85,91.95,NA,0.1,NA,NA,0.41,0.4,0.4,0.4,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.41,0.02,"DM"
337,"Scharmützelsee","Deep dimictic lake",4527,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis robusta","HW",36.12,36.16,NA,0.04,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.42,0.04,"DM"
338,"Schulzensee","Shallow lake",4519,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis horaria","HW",100.38,100.59,NA,0.21,NA,NA,0.38,0.39,0.41,0.42,0.42,0.42,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.41,0.03,"DM"
339,"Schulzensee","Shallow lake",4527,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis robusta","HW",93.8,93.93,NA,0.13,NA,NA,0.42,0.42,0.42,0.44,0.45,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.44,0.02,"DM"
340,"Schulzensee","Shallow lake",4519,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis horaria","HW",100.96,101.38,NA,0.42,NA,NA,0.48,0.49,0.5,0.5,0.5,0.5,0.5,0.51,0.52,0.53,NA,NA,NA,NA,NA,NA,10,0.5,0.04,"DM"
341,"Schulzensee","Shallow lake",4527,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis robusta","HW",92.15,92.33,NA,0.18,NA,NA,0.49,0.51,0.52,0.52,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.51,0.04,"DM"
342,"Schulzensee","Shallow lake",4527,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis robusta","HW",92.03,92.46,NA,0.43,NA,NA,0.54,0.54,0.54,0.55,0.55,0.56,0.56,0.57,0.58,0.58,NA,NA,NA,NA,NA,NA,10,0.56,0.04,"DM"
343,"Schulzensee","Shallow lake",4519,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis horaria","HW",108.19,108.68,NA,0.49,NA,NA,0.54,0.54,0.55,0.55,0.57,0.58,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.56,0.07,"DM"
344,"Schulzensee","Shallow lake",4527,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis robusta","HW",100.44,100.63,NA,0.19,NA,NA,0.59,0.6,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.6,0.06,"DM"
345,"Schulzensee","Shallow lake",4519,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis horaria","HW",111.61,112.02,NA,0.41,NA,NA,0.6,0.61,0.63,0.64,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.63,0.08,"DM"
346,"Schulzensee","Shallow lake",4527,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis robusta","HW",82.84,83.51,NA,0.67,NA,NA,0.65,0.65,0.66,0.66,0.66,0.68,0.68,0.68,NA,NA,NA,NA,NA,NA,NA,NA,8,0.67,0.08,"DM"
347,"Schulzensee","Shallow lake",4519,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis horaria","HW",110.64,111.42,NA,0.78,NA,NA,0.67,0.68,0.7,0.7,0.71,0.71,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.7,0.11,"DM"
348,"Schulzensee","Shallow lake",4527,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis robusta","HW",97.85,98.59,NA,0.74,NA,NA,0.7,0.71,0.72,0.73,0.73,0.74,0.74,0.74,NA,NA,NA,NA,NA,NA,NA,NA,8,0.73,0.09,"DM"
349,"Schulzensee","Shallow lake",4519,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis horaria","HW",108.76,109.79,NA,1.03,NA,NA,0.76,0.78,0.78,0.79,0.81,0.81,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0.79,0.15,"DM"
350,"Schulzensee","Shallow lake",4527,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis robusta","HW",100.15,101.12,NA,0.97,NA,NA,0.76,0.79,0.79,0.8,0.8,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,8,0.79,0.12,"DM"
351,"Schulzensee","Shallow lake",4527,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis robusta","HW",99.91,100.73,NA,0.82,NA,NA,0.81,0.82,0.83,0.84,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.83,0.16,"DM"
352,"Schulzensee","Shallow lake",4519,"Ephemeroptera","Ephemeroptera","Caenis sp.","Caenis horaria","HW",99.17,99.95,NA,0.78,NA,NA,0.82,0.84,0.84,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.84,0.2,"DM"
